time;logger;level;message;exception
2011-12-15 18:51:55.3876;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 401604608
  PollingInterval     = 00:02:00";
2011-12-15 18:51:55.5039;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096";
2011-12-15 18:51:57.1865;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2011-12-15 18:51:57.1904;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2011-12-15 18:51:57.1904;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2011-12-15 18:51:57.1904;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2011-12-15 18:51:57.3125;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-15 18:51:57.3837;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-15 18:51:57.3837;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-15 18:51:57.4277;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-15 19:00:32.4003;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2011-12-15 19:00:32.6298;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2011-12-15 19:00:32.7890;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2011-12-15 19:00:32.8115;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 - step 1/2;
2011-12-15 19:00:32.8115;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 - step 2/2;
2011-12-15 19:00:32.8115;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-15 19:00:32.8134;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-15 19:00:32.8398;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-15 19:00:32.8398;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-15 19:00:39.3183;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    13 ms - <default>  - 200 - /docs?pageSize=0&noCache=-1687693872;
2011-12-15 19:00:39.5195;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -    40 ms - <default>  - 200 - /build/version?noCache=1287243195;
2011-12-15 19:00:39.5195;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=386765001;
2011-12-15 19:00:39.5771;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -    13 ms - <default>  - 200 - /license/status?noCache=-1427261958;
2011-12-15 19:00:39.5781;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=-925912131;
2011-12-15 19:00:39.8447;Raven.Database.Server.HttpServer;Debug;Request #   6: GET     -   155 ms - <default>  - 200 - /stats?noCache=481743167;
2011-12-15 19:01:05.7783;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index AlbumsByCountSold:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_AlbumsByCountSold : AbstractViewGenerator
{
	public Index_AlbumsByCountSold()
	{
		this.ViewText = @""from album in docs.Albums
select new { album.CountSold };
"";
		this.ForEntityNames.Add(""Albums"");
		this.AddMapDefinition(docs => from album in docs
			where album[""@metadata""][""Raven-Entity-Name""] == ""Albums""
			select new { album.CountSold, __document_id = album.__document_id });
		this.AddField(""__document_id"");
		this.AddField(""CountSold"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForMap(""CountSold"");
		this.AddQueryParameterForReduce(""__document_id"");
		this.AddQueryParameterForReduce(""CountSold"");
	}
}
";
2011-12-15 19:01:05.7822;Raven.Database.Indexing.IndexStorage;Info;Creating index AlbumsByCountSold with encoded name AlbumsByCountSold;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for AlbumsByCountSold;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 5 - step 1/2;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 6 - step 2/2;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2011-12-15 19:01:05.7822;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2011-12-15 19:01:05.7978;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2011-12-15 19:01:05.7978;Raven.Database.Server.HttpServer;Debug;Request #   7: PUT     -   502 ms - <default>  - 201 - /indexes/AlbumsByCountSold;
