time;logger;level;message;exception
2012-01-18 00:00:29.0332;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:29.0332;Raven.Database.Server.HttpServer;Debug;Request # 287: GET     -     2 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:29.0332;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Blogs for all documents;
2012-01-18 00:00:29.0332;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:29.0722;Raven.Database.Server.HttpServer;Debug;Request # 288: GET     -    36 ms - <default>  - 200 - /indexes/dynamic/Blogs?query=&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:29.6328;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:29.6328;Raven.Database.Server.HttpServer;Debug;Request # 289: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:29.6650;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Posts/ByBlogId for: BlogId:blogs\-129;
2012-01-18 00:00:29.6650;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'posts-33' was found;
2012-01-18 00:00:29.6650;Raven.Database.Server.HttpServer;Debug;Request # 290: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Posts?query=BlogId%253Ablogs%255C-129&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:29.7001;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:29.7119;Raven.Database.Server.HttpServer;Debug;Request # 291: GET     -    14 ms - <default>  - 200 - /docs/blogs-129;
2012-01-18 00:00:29.7421;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:29.7421;Raven.Database.Server.HttpServer;Debug;Request # 292: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:31.4638;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:31.4638;Raven.Database.Server.HttpServer;Debug;Request # 293: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:31.4863;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Blogs for all documents;
2012-01-18 00:00:31.4863;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:31.4863;Raven.Database.Server.HttpServer;Debug;Request # 294: GET     -     1 ms - <default>  - 200 - /indexes/dynamic/Blogs?query=&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:31.7910;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Blogs for all documents;
2012-01-18 00:00:31.7910;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:31.7958;Raven.Database.Server.HttpServer;Debug;Request # 295: GET     -     5 ms - <default>  - 200 - /indexes/dynamic/Blogs?query=&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:31.8125;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:31.8125;Raven.Database.Server.HttpServer;Debug;Request # 296: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:31.8671;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:31.8671;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Blogs for all documents;
2012-01-18 00:00:31.8671;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:31.8671;Raven.Database.Server.HttpServer;Debug;Request # 297: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:31.8671;Raven.Database.Server.HttpServer;Debug;Request # 298: GET     -     1 ms - <default>  - 200 - /indexes/dynamic/Blogs?query=&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:32.1474;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:32.1474;Raven.Database.Server.HttpServer;Debug;Request # 299: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:32.1474;Raven.Database.Indexing.Index.Querying;Debug;Issuing query on index Temp/Posts/ByBlogId for: BlogId:blogs\-129;
2012-01-18 00:00:32.1474;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'posts-33' was found;
2012-01-18 00:00:32.1474;Raven.Database.Server.HttpServer;Debug;Request # 300: GET     -     3 ms - <default>  - 200 - /indexes/dynamic/Posts?query=BlogId%253Ablogs%255C-129&start=0&pageSize=128&aggregation=None;
2012-01-18 00:00:32.1894;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:32.1894;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:32.1894;Raven.Database.Server.HttpServer;Debug;Request # 301: GET     -     0 ms - <default>  - 200 - /docs/blogs-129;
2012-01-18 00:00:32.1894;Raven.Database.Server.HttpServer;Debug;Request # 302: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:38.2939;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'blogs-129' was found;
2012-01-18 00:00:38.2958;Raven.Database.Server.HttpServer;Debug;Request # 303: GET     -     3 ms - <default>  - 200 - /docs/blogs-129;
2012-01-18 00:00:38.3134;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:38.3134;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-01-18 00:00:38.3134;Raven.Database.Server.HttpServer;Debug;Request # 304: GET     -     3 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:38.3134;Raven.Database.Server.HttpServer;Debug;Request # 305: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-01-18 00:00:38.4091;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2012-01-18 00:00:38.4091;Raven.Database.DocumentDatabase;Debug;Putting a document with key: urn:uuid:d0fcc348-2bb5-4712-a662-fc921d97e4f6 and etag ;
2012-01-18 00:00:38.4316;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'urn:uuid:d0fcc348-2bb5-4712-a662-fc921d97e4f6', update: False, ;
2012-01-18 00:00:38.4316;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 105 - step 1/2;
2012-01-18 00:00:38.4316;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 106 - step 2/2;
2012-01-18 00:00:38.4316;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
2012-01-18 00:00:38.4355;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 106, currentWorkCounter: 106, will wait for additional work;
2012-01-18 00:00:38.4316;Raven.Database.Server.HttpServer;Debug;Request # 306: POST    -    25 ms - <default>  - 200 - /bulk_docs;
